,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,61667,61751,61706,61651,61602,61786,61968,62283,62576,62952,63370,63784,64245,64550,64891,65284,65807,66670,67745,68950,69775
1,35281,36409,37298,38190,38936,39563,40322,40883,42104,44026,45224,46614,48109,48820,49919,51118,52101,53273,54354,55410,56051
2,18092,18263,18362,18477,18568,18699,18589,18706,18826,18748,18810,19005,19084,19128,19205,19337,19413,19440,19501,19577,19595
3,53440,54889,55973,57127,57799,58677,59581,60599,61743,62960,64093,65063,65941,66787,67299,67708,68319,68762,69214,69989,70407
4,135708,139242,142034,144430,147027,149899,151861,153483,155897,158288,160596,161388,161458,161223,161462,161885,162975,165153,167081,168351,169018
5,104122,107654,110404,113134,115558,118851,121670,124406,127424,130656,134000,136142,137861,138776,139941,141166,143524,147185,149715,152010,153639
6,36738,37164,37509,37984,38442,38792,39149,39518,39979,40308,40816,41193,41414,41503,41809,42122,42448,43100,44095,44711,45176
7,60023,60213,60035,60038,59652,59383,59308,59248,59152,59010,58987,58617,58047,57398,56970,56674,56436,56218,56242,56397,56545
8,43227,43364,43381,43409,43427,43392,43371,43345,43624,43593,43738,43619,43462,43349,43175,43119,43465,43837,44438,44927,45360
9,48674,49161,49512,49625,49588,49636,50036,50836,51464,51902,52288,52448,52513,52311,52328,52482,53053,53725,54493,55353,56318
10,43043,43844,44249,44781,45208,45589,46302,46951,47115,47390,47789,47964,48065,48211,48450,48737,49151,49400,49991,50573,50847
11,64184,65597,67181,68754,70324,71325,72206,72817,73777,74864,75674,76677,77723,78540,79042,79785,80713,81779,82637,83684,84335
12,31961,32041,31933,31890,31681,31565,31535,31262,30995,30713,30532,29914,29147,28413,27835,27289,26946,26696,26665,26686,26498
13,28275,27890,27378,26699,25864,25300,25042,24934,24761,24366,24208,23832,23424,23055,22768,22491,22447,22343,22180,22041,21937
14,65389,66424,66770,67137,67023,66869,67081,67491,68196,68395,68842,68585,68193,67861,67635,67538,67629,68306,68944,69491,69556
15,72171,72406,72539,72798,73150,73742,74354,74891,75406,75894,76441,76970,77460,77724,78219,78679,79735,80922,82002,83327,84692
16,44916,45329,45807,46330,46924,47536,48447,49315,50180,51352,52324,53927,55458,56753,58337,59934,61670,62840,63895,65097,66540
17,46264,47478,49225,50627,52283,53764,55262,56548,57957,59572,61044,62087,63336,64088,64784,64829,66155,67099,68138,69289,70039
18,29016,29095,29155,29196,29111,29038,28976,28792,28618,28454,28529,28754,28737,28637,28748,28972,29087,29348,29679,30091,30534
19,69510,69354,69203,69189,69298,69879,70096,70749,71340,71638,72302,72678,72874,72980,72762,72762,73271,73903,74510,75209,75330
20,64753,66465,67950,69297,70860,72024,73501,74680,76168,77721,79109,79844,80623,81015,81437,81794,82623,83828,84940,86058,86959
21,110606,110939,111186,111507,112215,113220,113953,114099,114599,115120,115960,117160,117588,117648,117946,118134,119486,121521,123364,125246,126725
22,22714,23376,23928,24404,25023,25580,26249,26843,27088,27580,28094,28489,28719,29094,29244,29321,29705,29894,30285,30706,30967
23,42168,42978,43245,43755,43984,44094,44421,44831,44948,44976,45235,45369,45378,45814,46332,46389,46742,47203,47724,48176,48418
24,49469,51155,52557,54356,56152,57150,58266,60110,61708,63448,64874,66481,67820,68931,69633,69963,71109,72523,73296,74432,75266
25,46368,46970,47461,48027,48278,48401,48532,48740,49099,49298,49425,49733,50264,50640,50935,50987,51317,51696,52107,52607,53047
26,52210,52635,52891,53282,53689,54031,54333,54627,54896,55178,55583,55982,56246,56529,56993,57456,58004,58373,58684,59068,59337
27,14794,14765,14705,14605,14540,14550,14483,14441,14347,14153,14120,13975,13806,13616,13512,13437,13279,13162,13030,12958,12824
28,41093,41291,41344,41247,41249,41405,41566,41618,41775,41705,42032,41915,41719,41481,41436,41676,41767,41706,41827,41770,41634
29,39147,39054,38626,38348,37807,37440,37336,37190,36997,36852,36743,36594,36291,36051,35983,36035,36139,36582,36992,37263,37397
30,39982,39860,39525,39155,38482,38128,38157,38205,38161,38034,38138,38158,37985,37813,37885,38112,38183,38251,38581,38788,38859
31,31148,30796,30362,29990,29489,29043,29249,29387,29621,29790,30007,29532,28941,28225,27658,27228,26855,26707,26691,26750,26791
32,75817,75772,75365,75234,74629,74330,74457,74573,74628,74673,74837,74942,74921,74832,74836,75395,76119,76730,77589,78627,79512
33,109284,109716,110020,110450,111124,112045,112924,113880,114921,115874,116872,117240,117475,117419,117416,117454,117817,118632,119970,120895,121876
34,58700,59390,59687,60637,61684,62489,63696,64746,65805,66279,67249,67934,68412,68676,68834,68817,69497,70483,71418,72093,72679
35,143088,143389,143380,143204,143436,144308,145173,145765,146503,147269,148073,149247,150555,151722,152700,153511,155391,157570,159113,160812,163007
36,56776,58567,60079,62247,64312,65427,66768,68051,69553,70669,71896,72906,73609,74020,74205,74545,74952,75362,75791,76161,76358
37,68623,69190,69287,69570,69758,69760,69732,69519,69200,69115,68887,68856,68697,68697,69004,69674,70240,70536,70912,71405,71703
38,54185,56122,58201,60618,62842,64939,67166,69061,70533,72618,73980,75711,77868,79555,80382,81531,83060,84842,86539,87722,88437
39,46393,46443,46563,46731,46803,47152,47374,47505,48099,48855,49373,49170,48767,48432,48190,48091,47936,47997,48295,48406,48418
40,15429,15393,15328,15264,15194,15187,15171,15129,15141,15103,15112,15047,15063,14805,14710,14711,14668,14603,14701,14787,14793
41,86238,86528,87284,87414,87257,87269,87353,87232,87441,87419,87629,87848,87745,87826,88313,89073,90010,90880,91647,92190,92509
42,70367,72661,74357,75986,77482,78846,80629,81848,83506,85161,86827,88021,88831,89319,90144,90481,91464,92257,93622,94934,96006
43,34225,35017,35711,36382,37260,38118,38680,39116,40206,41425,42327,42908,43195,43337,43369,43484,44045,44516,45144,45722,46118
44,94092,96070,97866,99305,101593,103965,107584,111404,113567,115550,118274,121028,123946,126397,128500,130147,131923,134537,137147,138554,139637
45,21525,21728,22102,22583,22902,23313,23774,24087,24429,24805,25175,25035,25040,25028,25052,25130,25224,25551,25893,26115,26365
46,19210,19617,20100,20496,20838,21274,21749,22180,22596,22999,23519,23723,23853,23610,23584,23759,23916,24183,24551,24721,24829
47,11554,11714,11828,11952,11993,12088,12279,13155,15028,17066,18531,21005,22449,23312,24233,25284,25803,26440,27080,27483,28035
48,113247,113488,113678,113902,114639,115608,116947,118204,119778,119977,120913,120387,119425,119289,119517,120117,121544,123857,126206,128470,130260
49,23767,24932,26070,27618,30159,32892,34864,37114,39989,43573,47036,51146,54227,56739,59020,61729,65183,68170,71265,74829,77360
50,82888,85471,86413,88253,90079,91514,92469,93325,94410,95647,97202,96923,96775,97744,98437,99305,100640,102569,104211,105901,107255
51,36066,35798,35520,35330,35334,35714,36250,36540,36618,36768,36966,37158,37228,37081,37215,37453,38041,39018,40026,40909,41504
52,55440,55237,54518,54419,54082,54122,53743,52273,51760,51533,50997,50756,50141,49835,49819,50101,50783,51864,52658,53385,53702
53,95100,96072,97219,100139,105655,109997,114710,120128,125112,128581,133173,140713,149413,156949,163192,168970,173898,178028,182224,185955,188578
54,117727,118656,118819,120136,121653,122983,122476,121625,121083,120939,120374,120428,120564,120721,121068,122346,123935,125613,127448,128821,130352
55,117613,118310,118864,119519,120663,122696,123303,123338,123819,123871,124456,124390,124252,124088,124596,125346,128229,131136,133975,136006,137792
56,140399,140336,139185,139099,140342,141993,143867,144458,144788,146612,148537,148973,149484,149554,150591,152634,155936,159017,161867,164088,166605
57,121457,121536,121096,121316,122709,124781,125378,124845,124279,123295,123606,122833,121789,121159,121618,122653,124759,127715,129827,131396,132428
58,101207,101082,100430,100137,101039,102303,104486,105238,106201,108087,110098,110568,110944,111637,112544,113360,115047,117137,119291,121128,122584
59,110287,110274,109512,109272,110117,111042,112121,112544,113494,113887,115196,115588,116861,117879,119057,120232,122555,125718,128229,129628,130075
60,54870,54824,54562,54597,54959,55441,56221,57061,58350,59995,61230,61995,62978,64221,65694,67046,68794,70846,73777,75964,78361
61,46493,46553,46136,46249,46581,46945,47462,48195,49019,49523,50146,50263,50661,50859,50914,51243,52095,53133,54115,54969,55642
62,126589,126497,125590,125128,125621,126817,127421,127402,127970,127584,128351,128827,129837,131184,132614,134479,137457,139746,142352,143582,144875
63,84752,84949,85092,85185,86274,87427,88082,88877,90160,91971,93463,95078,96110,97154,98241,99155,100679,101518,102994,104381,105785
64,65092,65648,66126,66415,67032,67669,68691,69455,70279,70722,71762,73304,74206,74615,74995,75250,76240,77520,78458,79289,79834
65,106833,106779,106297,105784,105124,105008,105217,105287,105797,106485,107270,107090,106839,106142,105175,104749,105825,108225,110718,112941,114902
66,78160,78643,78747,79948,81391,83037,83618,84004,84654,84964,85804,85894,86260,86842,87234,87906,89049,90512,92241,93552,94633
67,36427,36542,36586,37012,37174,37468,37520,37578,37746,37774,38428,38532,38575,38646,38627,39026,39775,39852,40938,41899,42818
68,53011,53311,53353,53664,53978,54506,55080,55436,55356,55572,56045,56077,55837,55610,55943,56252,56680,57137,58672,59577,60455
69,129784,129429,128718,128695,129020,130093,130687,131348,132445,133963,135343,135561,135796,136182,137171,138322,140629,142853,144890,146774,148423
70,17937,19552,20954,22738,25237,27069,29233,31826,34509,36917,39523,41410,42703,43390,44621,45397,47163,48910,50710,52239,53784
71,143773,145558,146485,147066,147651,148586,148908,149036,149393,149772,150579,150382,149845,148810,148378,147738,148539,149652,151281,151752,152421
72,26665,27310,27898,28546,29182,29861,30299,31025,31589,32352,33097,33429,33973,34365,34702,35080,35463,36018,36563,36997,37546
73,72652,73050,73220,73462,73661,74135,74610,74978,75423,75759,76385,76713,76796,76262,75818,75446,75953,76990,77802,78025,78302
74,102113,104804,107417,109273,110851,112232,114378,116222,117628,119664,121946,122677,122691,121990,122274,122550,123460,125372,126803,127621,128837
75,30600,31741,32612,33008,33419,33961,34246,34387,34721,35265,35728,35750,35723,35564,35407,35366,35711,36249,36551,36782,36943
76,52549,53497,53553,53520,53450,53592,53444,53155,53008,53014,53077,52781,52527,52126,52130,52007,52443,53032,53545,53664,53908
77,50313,50708,51041,51689,52656,53595,54384,55264,56308,57288,59010,60741,62093,64014,66615,68518,70951,73338,75638,77366,78502
78,55139,55120,55076,55313,55048,55173,55444,55716,56118,56563,57222,56890,56748,56958,57278,57289,58184,59156,60311,61218,62158
79,120903,121151,120987,120850,120826,121189,121252,121509,121714,122896,123819,123442,123416,123785,125335,127360,130241,133731,136694,139624,142224
80,98346,98871,98823,99686,100563,101405,102195,102931,104400,105924,107468,108451,109657,110883,112279,114515,117428,121022,125055,128420,131002
81,40353,40358,40233,40098,39967,40037,40466,40749,41108,41595,42302,42039,42026,42367,42501,42705,43034,43469,44100,44546,44949
82,110386,110668,110721,110890,110906,111522,112292,112154,113428,114166,115210,115483,115774,116097,116591,117344,119618,121726,123151,124783,126401
83,39003,41428,43822,46085,49031,52045,56438,59939,63784,67483,71602,73731,74761,75564,76275,77373,78102,79152,80593,81866,83523
84,169132,171115,172532,173630,174269,175918,176155,176282,175551,176183,176933,176301,175707,174687,175021,175086,176685,179384,181927,183195,183960
85,65417,67200,68872,70617,72616,74994,77642,80605,83420,86952,90280,92169,93133,94072,95317,96624,98866,102389,105365,107265,109099
86,96369,96650,96964,96969,97126,97490,98288,99698,100785,101444,102827,103382,103498,103388,103719,103884,104831,106569,108172,109069,109508
87,97837,99130,100344,101680,102784,104389,105912,106625,107032,107799,109074,109054,108706,107958,107241,106827,107708,109163,110263,110399,110129
88,79899,80297,80199,80068,80017,80353,80652,81165,82168,83072,84091,85032,86053,86636,87571,88513,89809,91551,93387,95409,97289
89,24867,25096,25162,25242,25267,25349,25406,25499,25598,25750,25918,25828,25789,25870,25768,25803,25929,26261,26705,27030,27252
90,23791,23978,24079,24111,24175,24248,24153,24039,23973,23933,23952,23945,23887,23756,23731,23735,23792,23854,24060,24138,24115
91,69583,70290,70600,70882,71083,71356,71996,72796,73711,75152,76312,77236,78372,79091,79666,80804,82163,83313,84600,85978,87340
92,37058,37807,38221,38671,38924,39197,39269,39329,39482,39608,39809,40126,40506,40910,41249,41555,42019,42569,43183,43587,44050
93,13351,13225,13003,12782,12547,12477,12397,12234,12168,12019,11933,11884,11815,11717,11666,11586,11537,11486,11458,11402,11303
94,10599,10850,11000,11161,11326,11494,11655,11803,12214,12702,13098,13269,13595,14034,14421,14676,15000,15425,15919,16355,16825
95,154133,154851,154554,154002,153993,154225,154039,154676,156334,157900,159583,161788,163517,164690,165773,167158,168749,170736,172880,175211,177588
96,41801,42960,43721,44514,45343,46085,46700,47359,48027,49186,50288,51680,52381,52934,53600,54221,55707,57254,58932,60525,62167
97,44870,44857,44655,44448,44344,44285,44647,45061,45447,45881,46428,46638,47169,47532,47917,48196,48830,49165,49522,50064,50519
98,43574,43601,43491,43377,43334,43308,43356,43439,43494,43491,43571,43680,43735,43814,43943,44157,44300,44476,44654,44795,44837
99,57612,58300,58768,58850,59255,59495,59967,60316,60834,61501,62110,62680,63193,63673,63764,63752,63881,64168,64699,65319,65979
100,33796,34085,34131,34354,34392,34445,34623,34851,35140,35546,35933,36158,36460,36817,37236,37917,38660,39505,40674,42214,43506
101,37285,37836,38295,38683,38962,39175,39406,39459,39356,39127,39017,39272,39480,39925,40289,40701,41124,41547,42025,42504,42934
102,46811,46929,46912,46934,46945,47024,47491,48138,48988,50198,51155,51549,52076,52439,52993,53212,53902,54720,55611,56834,57943
103,74900,74512,73339,72192,71315,70509,70331,70239,69894,69520,69435,69550,69613,69673,69852,70392,70853,71519,72123,72906,73609
104,42776,42652,42389,42044,41650,41324,41231,41123,40994,40801,40661,40511,40382,40332,40388,40525,40742,41043,41385,41684,41960
105,74487,74336,73910,73382,73437,73615,73490,72900,72730,72149,72096,72611,73017,73739,74719,75763,77238,78950,80795,81901,82911
106,46359,46212,45880,45630,45797,46010,46192,46130,46129,46063,46091,46252,46404,46661,47042,47693,48537,49432,50262,50753,50971
107,55594,55443,55172,55331,55865,56903,56902,56850,56830,57028,57155,57290,57365,57672,58160,58818,59806,60984,62220,63012,63695
108,39474,39558,39869,40777,42147,44291,46445,47830,49942,52687,55399,60592,66149,71532,76197,80154,85141,89792,94330,97578,100228
109,71331,71776,72261,72935,74247,75562,75897,76221,76966,78185,80054,82220,84170,86017,87831,89641,91490,93174,95272,96375,97276
110,48796,48911,48916,49064,49552,50138,50575,50583,50650,51085,51460,52215,52625,53281,53923,54628,55344,56263,57114,57518,57585
111,64542,64652,64998,65751,66535,67448,67996,68078,68338,68680,69294,70232,70956,71645,72542,73648,75128,76599,78033,79093,79685
112,150425,150665,150176,149946,151355,152796,153552,153946,154342,154902,156246,156886,157298,157885,158727,159605,161308,163408,165284,166326,167062
113,89188,88931,88263,87124,86181,86015,86051,86216,86507,87060,87398,87609,87550,87465,87450,87618,88330,89027,89732,89985,90211
114,87615,87439,87013,86541,86438,86519,87011,88056,88976,89535,90188,90326,90563,90936,91640,92714,94168,95944,97754,98646,98972
115,85939,85751,85094,84952,85137,85768,86119,86260,86625,87308,88262,88717,89088,89394,89873,90807,92041,93535,94850,95594,96119
116,123216,123217,123372,123627,124331,125688,126272,126557,126986,127681,128728,129579,130256,131606,133121,135238,137569,140153,142879,144000,144536
117,90453,90800,91027,91204,91790,92708,93686,95171,96506,97759,98576,100063,101301,102335,103402,104721,106758,108683,111438,112546,113283
118,37306,37333,37331,37402,37583,37812,37803,37712,37727,37833,37964,38155,38409,38780,38970,39428,39884,40578,41072,41210,41268
119,119184,118817,117900,116830,116610,117234,117696,118101,118088,117914,117967,117559,117313,116661,117149,117963,119362,120580,122248,122780,122983
120,81821,81391,80687,79962,79960,80524,80668,80557,80462,80536,80976,81107,81307,82074,83256,84606,86211,88093,90027,91027,91971
121,55881,57112,58229,59040,59833,60568,61159,61934,62725,63478,64121,64238,64239,64532,65029,65547,65881,66431,66352,66464,66387
122,102687,104884,106654,107962,109397,111590,113687,116673,119585,122040,125306,128050,131257,133298,135937,138821,143524,149384,156713,164352,172989
123,58332,57920,57389,57215,57104,57023,56822,56924,56871,56908,56978,56646,56219,55933,55736,55836,55971,56378,56831,57074,57131
124,18736,19087,19492,19815,20029,20424,21125,21760,22311,22800,23467,23655,23938,24367,24716,25028,25367,25840,26529,26976,27402
125,64102,63536,62657,61805,61412,61434,61708,61840,62092,62151,62672,62728,62772,63069,63421,64269,65617,66769,68597,69697,70554
126,23435,24389,25445,26215,27027,27708,28466,28423,28907,29516,30508,31032,32047,33090,33930,34721,35426,36224,37089,37649,38012
127,85501,87621,89930,91446,92969,94054,96112,98281,100390,102715,106571,109206,111891,114421,117104,120003,123459,127112,131355,134856,138183
128,130702,131814,132595,133966,134464,136078,137622,139752,142104,144397,146562,147997,149001,148993,149303,150313,151421,152623,154215,154729,154666
129,21020,21459,21831,22089,22626,23308,23686,24210,24903,25229,25724,25848,25968,25991,26212,26403,26489,26615,26689,26703,26654
130,93190,93959,94560,94597,94902,95417,95890,96702,97686,98466,99296,99546,99782,100025,100537,101013,102140,103631,105605,106263,106880
131,58548,58217,57604,56778,56340,56219,56273,56361,56456,56595,56673,56640,56523,56547,56602,57025,57721,58161,58844,59089,59310
132,136039,136159,136036,135355,135537,136086,136619,137337,138522,139927,140972,141647,141939,141911,142066,142648,143686,145088,146869,147670,148055
133,38123,39024,39865,40489,41206,41923,42559,43573,44801,45836,46967,47983,50148,52949,55254,58058,60534,63838,68095,72033,75999
134,71538,75995,79884,82879,85527,87906,90569,93759,97240,100378,104094,107294,110408,113071,115396,117092,119819,122825,125798,127824,128866
135,45893,48172,50700,53869,57578,60120,62339,65338,68189,72587,76350,81620,88244,93575,98425,103348,108677,114704,120880,126647,132416
136,169552,169571,168509,167418,166879,167057,166472,165148,163941,162982,162211,161489,160950,161079,161743,163737,166589,170018,173352,175073,177188
137,160589,159198,157090,154740,153714,153341,153214,153622,153954,154781,155753,156048,156384,156926,158313,160246,162100,164068,166933,168246,169961
138,133845,135968,138186,140103,142403,145046,147496,150951,153768,155757,157872,159242,160274,161873,163749,165294,168168,171761,176630,180217,182862
139,69110,69378,69876,70489,71254,72555,73674,75203,76443,77429,78274,78687,78857,78632,78972,79493,80488,81254,82291,82640,82754
140,62593,62591,61802,61209,60851,60905,60946,60603,60438,60711,60848,61557,62516,63168,64137,65518,67666,69902,71872,73613,75154
141,45538,46694,47631,48734,49905,51294,52585,54180,56975,60683,65112,69984,75774,81195,87686,94263,100671,107203,114803,122301,128226
142,69085,71822,74320,76105,78228,80406,82319,84082,86247,88560,91184,94770,100026,105825,112813,119574,128109,137322,147881,159803,171340
143,104536,106071,106664,106910,107542,108435,109142,109475,110351,111757,113306,114262,115483,117124,118530,120148,122182,124689,127252,129052,130350
144,110402,111903,112785,113830,115189,116984,119249,121667,124583,127989,131574,133997,135620,136674,137759,139317,141740,144403,147002,148542,149271
145,66761,66603,65913,65166,64388,63784,63336,62991,62765,62352,61983,61740,61301,60892,60586,60351,60212,60182,60372,60298,60029
146,44532,44965,45030,45253,45395,45731,46253,46915,47561,48206,48865,49405,49534,49677,49981,50540,50855,51140,51373,51625,51822
147,43299,43252,42863,42402,41755,41288,40981,40681,40336,40089,40118,40019,39827,39575,39427,39320,39040,38817,38717,38296,37783
148,33986,34305,34405,34554,34770,34885,35073,35292,35547,35752,36030,36237,36377,36377,36732,36899,36965,37064,37133,37140,37057
149,25095,25360,25319,25430,25538,25822,25895,26009,26120,26260,26404,26437,26583,26684,26969,27477,27703,27968,28140,28331,28406
150,51866,52444,52801,53203,53610,53845,54218,54685,55219,56269,57005,57441,57803,57686,57624,57958,58535,59308,60289,61062,61539
151,40656,40360,39691,39079,38601,38344,38174,37894,37589,37278,37043,37025,37016,36969,37031,37019,37025,37031,36965,36763,36478
152,82765,83026,82622,82071,81850,82024,81960,82011,82217,82395,82624,83065,83314,83495,83697,84039,84430,84835,85341,85774,86121
153,51976,53969,55752,57704,59524,61009,62146,62912,64079,65626,67254,68679,69707,70105,70404,70568,70868,71308,71849,72104,72612
154,36296,38523,40783,42440,44205,46385,48040,49624,51431,53318,55390,57165,60445,63174,65606,67600,70349,73312,76003,77434,79174
155,43705,43950,44233,44618,45434,46518,47159,47877,48426,49627,51802,53530,54841,56365,57521,58747,60620,62515,64626,65906,67253
156,23770,24371,25287,26547,27660,28462,29098,30033,30703,31733,32667,33266,33780,34331,35090,35551,36225,36909,38195,38797,39204
157,61688,60965,60352,59830,59620,59874,59911,59969,59910,60142,60859,61368,61579,61947,62447,62785,63776,64991,66404,67408,68546
158,27343,27322,27473,27371,27559,28120,28574,28708,28718,29079,29590,30113,30251,30390,30592,31055,31935,33129,34271,35167,35960
159,40369,40521,40942,41708,42203,42845,43417,44378,45513,45832,46411,47511,48151,48451,49212,49829,50833,52158,53139,53899,54772
