,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
160,34839,34663,34877,35487,36261,37379,38408,39158,40075,41379,42190,43046,43486,43772,44274,45093,46083,47171,47904,48428,49010
161,55900,55874,55592,55637,55741,56095,56068,56195,56250,56637,57293,58267,59202,60003,61304,62287,63334,64769,66387,67435,68651
162,51125,51528,52668,53497,54389,55166,55784,56419,57007,57474,58493,59507,60356,61230,62353,63316,64410,65403,66739,67532,68624
163,33451,33243,32858,32573,32470,32726,32732,32802,32928,33051,33332,33757,34021,34284,34853,35457,35747,36329,37116,37592,38156
164,22275,22896,23494,24548,26135,27934,29581,31438,33201,34523,36140,37858,39992,42240,43739,45981,48619,51027,53605,54876,55885
165,30614,31001,31516,31932,32430,33119,34654,36030,37707,39475,41010,42172,42927,43503,44104,44843,45349,46188,47011,47512,48446
166,23107,23680,24597,25248,26135,26627,27010,28065,28820,29388,30047,30813,31367,31999,32366,32839,33127,33296,33445,33448,33385
167,31573,32282,33044,33577,33926,34472,35088,35728,36195,36815,37492,38563,39376,40091,40855,41706,42650,43537,44590,45176,45527
168,40130,40404,40403,40557,40913,41276,41307,41622,41853,41944,42207,43075,43941,44776,45425,46489,47227,48095,49000,49523,49900
169,38361,38732,39239,39538,40104,40754,40882,41082,41215,41610,42089,43262,44260,44931,45270,45633,46508,47291,48106,48829,49293
170,31570,31367,30909,30978,31982,32946,33798,34648,35943,37573,39013,41411,45840,48610,51270,53950,56323,57761,59197,59880,61392
171,28923,28708,28543,28514,28662,28970,29259,29680,30198,30677,30983,31652,32566,33458,34404,35143,36356,37395,38289,38893,39575
172,59251,59010,58977,59032,59659,60442,60565,60942,61708,62216,63290,65080,66715,68607,69678,71882,73436,75092,76678,77706,79069
173,44525,44418,44335,44466,44726,45589,45924,46159,46275,46543,47397,48532,49697,50448,51588,52636,53448,54465,55379,56076,56714
174,24427,25939,27686,29392,30962,31968,32578,33200,33801,34202,34441,35114,36403,37777,39192,40929,42586,44360,46366,47821,48946
175,62634,64042,66432,68852,71975,74830,75874,76629,76936,77206,77296,78577,80326,82060,84475,87274,89914,93312,95921,97507,98559
176,32117,32553,33301,33837,33952,34414,34712,34881,35023,35423,35408,35300,35318,35257,35203,34711,34955,35001,34971,34921,34718
177,7442,7803,8053,8477,8912,9304,9775,10002,10053,10003,10224,10404,10490,10420,10362,10487,10703,10921,11040,11066,11138
178,31726,32312,32924,33209,33536,34067,34173,34348,34272,34348,34473,34876,35249,35491,35848,36362,37103,37972,38625,39053,39420
179,43209,43111,42814,42017,41080,40555,40599,40810,40995,41252,41698,41665,41584,41386,41299,41480,41935,42643,43192,43820,44502
180,37579,37810,37839,37672,37206,36948,36993,37067,37200,37718,38228,38332,38278,38461,38778,39019,39337,39846,40446,40818,41409
181,33398,33811,34172,34317,34127,33961,34077,34224,34360,34686,34893,35279,35548,35747,36116,36611,37243,37860,38535,38930,39349
182,26480,27145,27262,26953,26953,26934,26787,26507,26150,25736,25595,26041,26506,27084,27576,28151,28498,29006,29648,30039,30517
183,55643,56097,57000,57674,58148,58953,59461,59889,60149,60446,61013,61920,62996,64476,65500,67077,68470,70305,71987,72552,74273
184,89668,90519,92287,93742,94272,94993,95329,95765,96074,95927,96343,97397,98779,100579,101940,103747,105824,107679,109922,111099,112333
185,46663,47241,48106,48578,49238,49679,51029,51839,52661,53596,55021,56007,56560,56979,57082,57709,58461,58826,59837,60527,60897
186,37339,38299,39045,40191,41320,42048,43040,43756,44673,45649,46644,47992,49089,49514,49866,50359,50839,50944,51266,51650,52239
187,36376,38315,40099,41732,43345,44477,45707,47223,48976,50760,52268,53837,55190,56153,56747,57566,58443,59430,60640,61451,62272
188,10201,10765,11308,11677,12026,12294,12621,13003,13299,13707,14088,14509,15291,15762,16198,16487,16929,17087,17447,17669,17713
189,10780,11741,13173,14280,15581,16504,18151,19959,21317,22424,23936,24622,25681,26494,27030,27867,29091,29957,30762,31559,32161
190,29730,32047,33976,35647,37626,39129,40531,41382,42450,43788,45036,47469,50621,52841,54629,56570,58655,60534,62423,63879,64885
191,21053,22984,24982,27232,30694,33205,35391,37302,40328,43353,45959,49361,52963,56575,62121,67194,74759,82404,88642,92982,97116
192,9876,11986,14259,16712,20115,22011,23653,25188,26314,28117,29690,32574,35706,38862,40908,42313,44277,45437,46207,46511,47200
193,34524,35733,37143,39411,41637,43091,44123,44876,45403,45951,46673,47752,48415,49262,50095,51573,52550,53693,55278,56449,56993
194,24220,24385,24460,24938,25762,26598,27411,28316,29152,30053,30862,31354,32597,33518,34257,34935,35814,36287,36631,36953,37290
195,36713,36977,38240,40376,42030,43568,44547,46112,48004,49824,51476,53282,55638,57682,58542,59318,60618,62034,63380,64801,66190
196,39774,40635,42142,43491,44640,45715,46105,46539,46961,47204,47490,47888,48597,49281,50769,52096,53092,54352,56098,57484,58452
197,76864,77488,78400,79114,79554,80021,80321,80304,79998,80228,80660,81786,83043,84443,86051,87703,89399,91667,94430,96323,97916
198,30517,31039,32223,33544,34552,35044,35463,35803,36267,36916,37562,38778,40203,42437,46199,49298,53664,57544,61848,65176,68494
199,9583,9664,9780,9807,9874,9952,9944,9930,9917,9935,9977,10205,10449,10741,11063,11314,11566,11807,12223,12512,12705
200,24449,25581,26244,26734,27910,28695,29124,29216,29773,30399,30985,31688,32464,33227,34082,34908,35405,36226,37205,38150,38971
201,43408,46434,49500,52459,55471,57203,58329,58710,59307,60341,61411,62466,63612,64805,65663,67512,69292,71088,72819,73812,75125
202,15690,17083,18430,19505,20546,21411,22164,22814,23438,24317,25159,26689,28046,29672,31062,32002,33363,34804,36285,37251,38333
203,33379,34479,36211,38274,40269,41481,42667,43316,44279,45142,45987,47153,47930,48888,49853,50742,51884,53113,54688,55877,56955
204,76972,76108,75191,74352,73451,73301,72678,71935,71106,70912,70809,71519,72024,72569,73245,73952,74466,75397,76375,77099,78090
205,35891,35647,35358,34566,33734,33428,33035,32357,31514,30883,30340,30930,31463,31745,32339,33046,33824,34585,35365,35860,36427
206,76473,78261,79626,81327,82930,85105,86024,86719,87548,88379,89337,91554,93642,96285,99901,103567,106026,108644,111455,113669,115960
207,11429,11662,12111,12520,13122,13819,14159,14507,14730,14901,15225,15656,16078,16463,17052,17581,17953,18384,18710,18938,19177
208,15988,16778,17824,18864,19762,20733,21479,22347,22873,23537,23913,24716,25401,26170,26782,27689,28621,29531,30395,31005,31455
209,25341,27468,30539,33232,35345,36732,37782,38849,39668,40393,40823,41659,43066,44946,46475,47819,50054,52751,55673,58507,60759
210,7545,7613,7791,7990,8216,8498,8680,8816,9233,9492,9627,9805,9879,10097,10307,10640,10675,10881,11256,11495,11684
211,25674,27898,30830,33401,35731,37396,38941,40082,40967,41853,42620,44047,45981,48882,51542,53155,55178,57106,58541,59766,60371
212,48631,48938,48897,48797,48714,48959,48760,48428,48419,48582,49287,49976,50754,51122,51704,52294,53594,54932,56220,57221,58001
213,43904,45913,47384,49150,51090,52666,54577,56672,58809,60928,63265,65768,68947,70602,72640,74374,76695,78478,80711,82127,83276
214,15285,16342,17131,17788,18657,19654,20429,21335,22350,22933,24223,25903,27995,30644,32967,34926,38593,42369,46216,49617,52849
215,31265,31749,31877,32059,32338,32559,32691,32709,32685,33065,33333,33775,34121,34573,34909,35133,35525,35983,36183,36504,36662
216,24625,24915,25198,25416,25636,25983,26264,26578,27002,27528,28022,28277,28379,28546,28724,28862,29598,30182,30687,31147,31624
217,36648,36326,35867,35201,34383,34084,33886,33703,33474,33536,33625,32993,32564,32137,32107,32049,32606,33436,33764,34124,34541
218,24958,24568,24169,23613,22912,22521,22332,22190,22093,22006,21974,21733,21235,20862,20586,20171,20047,20080,20170,20304,20466
219,15497,17452,19506,21758,23957,25575,27032,29213,30800,31926,33457,35217,37635,39554,41112,42207,43360,44615,45781,46702,47411
220,36614,38171,39828,41768,43314,44132,45495,46757,48217,49676,50984,52992,56107,58864,60993,62958,65127,67536,69909,71439,72539
221,31138,32587,34258,35743,36938,37781,38860,39803,40785,42067,43076,44226,45376,46957,48021,49229,50243,51258,52070,52718,53377
222,34823,36158,37906,39572,41033,42523,43991,44993,45706,46839,47850,49184,50646,52134,53062,54256,55384,56769,58133,59082,59871
223,17097,18495,19713,21519,23377,24893,25950,26979,27946,28846,29788,30897,31781,32307,32882,33392,34235,35337,36278,36892,37338
224,26133,27870,29614,31030,32525,33803,34713,35353,36024,36620,37272,38149,39449,40510,41733,42694,43555,44885,46191,46990,47743
225,110974,112545,114601,115860,116258,117283,118297,119341,120488,121660,122996,124833,126712,128888,131775,133932,135936,138302,141055,142902,144258
226,47262,47122,46901,46572,46227,46290,46028,45701,45297,44907,44571,44260,43956,43478,43199,43023,43434,43799,44125,44277,44492
227,121827,123536,126425,128336,129973,131246,132341,133932,136436,139392,142047,145150,147999,151208,155367,159519,163542,168544,173119,176591,180186
228,62139,63319,65031,66752,68279,69721,70595,71257,71761,72314,72867,73971,74997,76450,78300,80165,81785,83767,85304,86296,86895
229,41222,41785,42598,43166,43247,43448,43615,43576,43541,43460,43850,44141,44425,44808,45217,45910,46327,46956,47803,48225,48609
230,32443,33357,34454,35490,35959,36507,37015,37490,37787,37622,37996,38506,39339,40394,41599,42536,43558,44623,45699,46294,46774
231,23758,25721,28174,30467,32138,33317,34019,34736,35167,36040,36809,37807,39807,42196,44252,46360,48497,50475,52306,53452,54106
232,33142,33449,34018,34611,35083,35474,35665,35747,35825,35848,36038,36535,37291,37990,38841,39849,40688,41620,42582,43238,43618
233,11322,11475,11747,11965,12431,12779,12727,12670,12726,12873,13211,13857,14533,15613,16573,17479,18549,19217,19914,20525,20920
234,54900,55330,56198,57252,58040,58544,59159,59717,60450,61219,61883,62739,63604,64454,65414,66195,66839,67647,68428,69251,69704
235,40200,40095,40011,40096,40275,40649,40957,41459,41915,42117,42403,42609,42730,42998,43272,43414,43549,43678,43969,44091,44092
236,45881,45966,45808,45790,45802,45923,46075,46211,46476,46688,46874,47028,47166,47232,47417,47746,48241,48728,49430,49893,50136
237,33374,33289,33324,33502,33439,33704,33729,33488,33350,33380,33546,33915,34125,34389,34621,34967,35315,35594,35868,36190,36291
238,26225,26115,25972,25689,25814,25955,25977,25961,26032,26077,26101,26327,26533,26695,26832,27138,27418,27670,27893,28012,27998
239,36837,36631,36500,36227,35967,36334,36448,36548,36493,36324,36405,36491,36668,36658,36805,37211,37512,37821,38113,38331,38374
240,20383,21170,21795,22467,22903,23309,24036,24511,24815,25332,25820,26538,27252,27867,28633,29389,30338,30900,31636,32056,32264
241,63048,63600,63781,64222,64805,65214,65784,66898,67403,68147,68692,69239,69797,70308,71163,72128,73402,75261,77242,79357,81460
242,51918,51977,51497,50921,50688,50196,50584,51307,51629,52037,52352,52976,53828,54279,55031,56385,58050,59380,60595,61893,62923
243,107604,108103,108128,109297,109854,110103,110753,111406,111773,112513,112801,113789,115031,116401,118205,119839,122368,124834,127448,129750,131401
244,83121,84774,86419,88409,89948,90961,91498,92449,93525,94295,94873,94975,95015,94666,94434,94449,94413,94515,94611,94595,94259
245,30940,30818,30730,30615,30526,30653,30832,30940,31476,31739,31952,31922,32136,32221,32497,32850,33275,33819,34104,34364,34524
246,78782,79121,79147,78905,78495,78539,78475,78720,79227,79681,79930,80283,80590,80918,81288,81952,82945,83886,85262,86485,87102
247,62318,62540,61799,61129,60471,60148,60268,60351,60550,60671,60827,61085,61509,61669,61948,62339,62683,62903,63341,63583,63717
248,133465,137938,140773,142884,144457,145197,146530,147781,149073,150406,151302,151861,152218,152452,153223,154581,156175,158124,160605,162871,164674
249,101967,101389,100607,100051,99498,99576,99954,100136,100257,100316,100304,100237,100092,100103,100140,100659,101214,102025,103574,104803,105807
250,56168,55823,55334,54849,54537,54536,54559,54596,54438,54223,53959,53995,54068,54010,53991,53974,54567,55549,56515,57467,58430
251,55072,54822,54298,54052,53789,53917,54173,54340,54819,54688,54771,55115,55355,55608,55858,56548,57357,57972,58806,59580,60015
252,27038,27598,27773,28019,28331,28538,28758,29086,29215,29381,29681,29985,30462,30987,31432,31746,32119,32434,32796,33345,33715
253,22144,22214,22269,22230,22110,22016,22039,21827,21797,21801,21769,21902,21761,21750,21744,21772,21856,21951,22067,22235,22358
254,30827,30782,30766,30431,29931,29529,29366,29105,28830,28599,28324,28286,28212,28088,28034,28089,28149,28040,27932,27861,27690
255,21852,22001,22279,22214,22200,22090,22146,22232,22274,22384,22481,22544,22696,22799,23006,23148,23471,23773,24122,24292,24352
256,59693,59686,59102,58668,57842,57372,57092,56769,56598,56253,56054,56190,56237,56320,56257,56478,56799,57021,57297,57570,57707
257,31308,31058,30633,30404,29915,29336,29051,29325,29520,29579,29373,28314,28283,27997,27714,27761,28128,28532,28761,29008,29169
258,29229,29711,30614,31329,32293,33352,34084,34929,35689,36339,37212,38289,39223,40375,41334,42152,43295,44463,45454,46544,47274
259,62855,63134,63163,63186,62776,62592,62590,62447,62520,62328,62332,62698,63019,63096,63544,63630,63886,64069,64224,64542,64375
260,67828,68282,68165,68286,68203,68017,68014,68061,68064,68113,68229,68378,68256,68236,68394,68510,68706,68859,68895,68828,68883
261,20754,21611,22410,23620,25113,26462,27814,29289,30700,32053,33362,34236,34854,35486,36881,37716,38339,39842,41283,42562,43703
262,64220,64574,65578,66387,67266,68763,70378,72147,74276,76449,77974,78347,78892,80421,83255,86076,87158,89892,92896,95168,97480
263,21395,21385,21410,21303,21406,21654,21774,21788,22049,22083,22138,22079,21768,21531,21587,21648,21596,21761,22041,22143,22267
264,37336,39600,41782,44259,46950,49308,51587,53634,54823,57063,59145,60070,62721,65749,68262,70623,73439,77689,81585,83762,87424
265,63517,63645,63497,63562,63766,64161,64305,64311,64469,64713,65120,65308,65431,65514,65656,65814,66219,66981,67713,68038,68762
266,68217,68789,69040,69232,69724,70570,71293,71745,72592,73324,74260,76038,77674,79510,81840,84072,87044,90651,94540,96668,99212
267,71180,71323,70878,70593,70379,70634,70191,70346,70890,71391,71830,71923,71841,71780,71564,72788,74248,76269,78080,79515,81245
268,34500,34970,35291,35625,36343,37067,37567,38007,38563,38705,39244,39494,39685,39779,40060,40186,40409,40762,41398,41789,42426
269,49208,51807,55211,59488,63184,66056,69296,72489,74887,76986,79983,82255,84494,86461,88451,91348,95300,99201,102900,105691,108713
270,128715,132357,136428,140992,145420,148248,150265,153002,154253,154966,156410,156820,157067,157218,156453,156570,157225,158175,159156,160053,162205
271,155969,155697,154935,154843,155406,156114,157237,157923,158295,159286,160616,161506,162864,164405,165698,167595,172623,177190,182320,185824,190621
272,46631,49489,53286,57670,61111,64944,69189,72697,76485,80553,84323,88442,93822,100185,107053,114943,125837,135840,145855,152746,160281
273,49196,50039,50798,51113,51526,51982,52050,52340,52252,52254,52391,52204,52049,52041,51795,52299,53735,55809,58508,61858,65395
274,49002,49211,48631,48785,49399,50204,50781,51287,52754,53338,53992,54593,54930,55466,56025,56987,59146,61603,64038,65662,67976
275,72692,73106,72955,73438,74319,75325,76310,77457,78674,79424,80528,81533,82283,82939,83336,84021,86360,88434,90521,92159,94210
276,72026,73052,73654,73725,74798,76482,77892,78594,80586,82232,83662,85337,87585,90120,92600,94958,98035,101907,105782,109250,112435
277,48503,48434,48274,48273,48259,48496,48585,48730,48488,48689,48743,49063,49419,49909,51052,51423,52560,53540,54487,55572,56492
278,8261,8479,8830,9291,9783,10232,10470,10704,11089,11444,11775,11975,12259,12491,12958,13294,14126,15263,16542,17256,18549
279,35400,35633,35449,35571,35875,36437,36637,36839,37150,37340,37604,38376,39003,39532,40099,40599,41289,42231,43006,43065,43694
280,51209,52089,52636,53630,55181,57235,58542,60176,62447,64799,66756,68381,69441,71364,73212,75320,79007,82434,86495,89203,92615
281,30634,30765,30679,30813,30983,31358,31688,31960,32268,32458,32720,33103,33247,33205,33181,33324,33819,34398,34965,35346,36218
282,17833,18283,18784,19355,19867,20142,20542,20917,21277,21622,21807,22045,22403,22593,23053,23986,24960,26482,28047,29132,30697
283,91885,93774,94545,94928,95513,96779,97430,98238,99072,99491,100267,100268,100080,99803,99693,99729,100851,101495,102765,103621,104982
284,44201,46981,51121,54650,58872,61581,64850,67391,69756,72037,74185,75802,77718,80168,82936,87033,92235,96506,100639,104922,109415
285,12524,12760,13063,13329,13675,13902,14151,14394,14652,14819,14905,15016,15189,15303,15467,15710,15738,15831,15900,15965,16069
286,10289,10057,9853,9792,9774,9680,9768,9925,10050,10205,10348,10247,10122,9832,9634,9469,9347,9380,9434,9507,9674
287,40134,40289,40296,41231,42293,43089,43266,42777,42034,41250,40443,40117,40199,39623,39238,39205,39669,40745,41736,42505,43356
288,23375,23319,23501,24439,25272,25919,26961,28431,30060,31472,32756,33230,33026,33330,33637,34062,34504,35257,35803,36227,36791
289,47589,48150,48510,48753,49317,49889,50389,50681,50524,50247,50680,50692,50607,50530,50895,51443,51538,52779,53927,54473,55311
290,46550,45733,43761,42438,41305,40814,41225,41419,40959,40240,39618,41235,43191,45092,47005,49413,51165,53670,56578,58912,61777
291,48815,49058,49385,49476,49971,50559,51426,52105,52780,53237,53789,54062,54309,54369,54824,55289,55271,55748,56411,56711,57237
292,51104,51024,51249,51339,51678,51930,52500,52906,53265,53630,53783,53667,53546,53063,53050,52925,52707,53164,53924,54332,54846
293,23203,23061,23002,22706,22338,22190,21982,21791,21517,21293,21117,21048,21022,20730,20757,20713,20640,20771,20975,21208,21331
294,12266,12636,12670,13005,13210,13267,13125,13123,13225,13340,13392,13493,13697,14120,14517,14810,15091,15419,15774,16135,16252
295,47665,47714,47909,47807,47790,47807,47694,47474,47388,47385,47399,47268,47410,47664,47915,48231,48485,48929,49547,50154,50586
296,50643,51097,51173,51313,51330,51335,51152,50842,50558,50371,50248,50095,50521,50656,50307,50436,50780,51189,51636,51941,52089
297,23249,23850,24461,24997,25438,25720,25921,26032,26175,26435,26678,26859,27370,27807,28283,28635,29140,29829,30509,31192,31737
298,47815,47812,47846,47509,47292,46992,46805,46819,46970,47146,47295,47505,48066,48578,49000,49053,49297,49585,50049,50408,50591
299,10010,10396,10847,11268,11698,12003,12195,12243,12302,12289,12391,12506,12724,12946,13266,13588,13856,14215,14570,14839,15018
300,74081,74665,74995,75444,75723,75919,75935,75679,75906,76080,76340,76649,77452,78256,78790,79186,79988,80804,81609,82292,82742
301,20535,20821,20898,21073,21315,21453,21487,21494,21504,21517,21595,21644,21783,22211,22358,22518,22621,22704,22771,22826,22880
302,36265,36566,36759,36848,36891,37041,36939,36841,36667,36547,36526,36649,37001,37205,37447,37580,37563,37686,37888,37990,38009
303,11734,11423,11378,11294,11225,11284,11177,11101,11092,11064,11041,11057,11139,11117,11192,11225,11305,11453,11610,11737,11802
304,14871,15180,15453,15763,15865,15951,16163,16180,16304,16446,16588,16638,16748,16999,17153,17290,17608,17908,18272,18583,18857
305,5873,6017,6142,6282,6329,6324,6339,6341,6344,6286,6269,6262,6300,6439,6580,6652,6705,6773,6833,6853,6836
306,50251,50120,49768,49517,49257,49041,48814,48463,48160,47982,47741,47580,47868,48154,48046,48550,48848,49323,49752,49971,50088
307,38960,39406,39605,39896,40215,40543,40580,40595,40619,40714,40806,40749,41254,41876,42224,42395,42861,43606,44424,44898,45190
308,22584,22276,22083,21483,20937,20925,20582,20203,19816,19521,19359,19198,19201,19150,19124,19153,19114,19145,19109,19028,18806
309,16185,16103,16255,16310,16607,16896,17200,17417,17737,18269,18469,18604,18888,19475,20450,21062,21768,22703,23712,24268,24776
310,53253,53362,53125,52959,53436,53761,53703,53109,52335,52258,52142,51648,51062,50865,51058,51271,52012,53029,54272,55050,55238
311,8880,9618,10446,11157,12157,13038,13801,14273,14704,15051,15344,15407,15410,15537,15800,16045,16998,17983,18808,19456,19802
312,8096,8751,9744,10998,12229,13552,15814,17596,19569,20834,22325,23020,23073,23334,24080,25083,26157,27495,28523,29055,29290
313,33519,34211,34806,35295,36001,36814,37588,38107,38833,39658,40207,40194,39960,39780,39710,39727,39898,40364,40918,41152,41023
314,5992,6255,6383,6463,6557,6665,6706,6586,6435,6259,6041,5955,5871,5858,5988,6110,6240,6395,6502,6555,6563
315,12275,12435,12623,12792,13116,13517,14022,14332,14508,14592,14731,14804,14875,15014,15301,15651,16056,16574,17218,17741,18099
316,11594,11633,11684,11807,11944,12235,12690,12988,13188,13368,13512,13663,13727,13942,14454,14872,15182,15527,15842,16077,16101
317,15699,16178,16642,17127,17555,18038,18231,18497,18703,18860,18972,18956,18859,18858,19064,19236,19437,19804,20232,20424,20400
318,89443,88685,87620,86181,85706,85987,85246,85049,85041,85577,86182,86942,87333,87018,87088,87291,89631,91064,92757,95023,95649
319,1815,1795,1789,1745,1652,1587,1561,1519,1474,1441,1399,1369,1346,1315,1245,1184,1196,1207,1388,1477,1549
320,39850,39696,39210,38961,38596,38617,38332,38033,37995,38242,38610,39466,40699,41766,42653,43831,45388,46572,47712,48739,49910
321,20955,20955,21156,21262,21481,21618,21911,21924,22101,22157,22300,22420,22444,22483,22993,23746,24231,24406,24664,24925,25176
322,74412,81051,85293,87886,89386,90507,90439,90387,90620,91058,91507,91299,91176,90558,90227,90030,90465,90525,90748,90481,89319
323,27118,26663,26038,25557,25047,24874,24472,24090,23969,23749,23726,23657,23004,22705,22710,22694,22927,23056,23230,23421,23354
324,33921,33967,33666,33311,33202,33192,32827,32673,32644,32627,32719,32861,32962,32832,33013,33226,33409,33570,33815,34068,34124
325,1448,1793,4720,7661,11120,13598,16102,18201,20707,22767,25478,26997,28772,30637,31847,33545,35781,38359,40868,44037,49316
