sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Females,0-4,466827.40898064733,487965.42466617597,492602.2591892676,496020.7957334198,498531.7298525773,498681.2429864144,498982.6092125105,499215.1990241072,499394.66678615415,499533.1212138926,499639.92028761236,499721.9472017364,499784.4878572662,499832.9646897674,499870.5385462478,499899.6607006858,499922.23178389645,499939.7252676908,499953.28334649676,499963.79134945595,499997.5040715788
Females,5-9,456948.0574899014,485529.66524993133,491252.3772428839,495429.86448710575,498306.5064484316,498479.11700583634,498831.5618236242,499102.19680784264,499310.0836055011,499469.8078317136,499592.5277511974,499686.3760189835,499757.56764548284,499812.5876668715,499855.11158032354,499887.97931890935,499913.38513097237,499933.02437555103,499948.2069745234,499959.9450761704,499997.2934478331
Females,10-14,453529.3937905253,484187.2763798267,490576.661914787,495093.7766469054,498170.88626443705,498336.32839493087,498721.65179370024,499017.4961926049,499244.79191987053,499419.49650498887,499553.7741598916,499656.4407211577,499734.2184667457,499794.3678756298,499840.8882457831,499876.87102581694,499904.705883409,499926.24005917704,499942.90155932214,499955.79437389376,499996.969865683
Females,15-19,449910.4217534461,482686.7419464305,489656.46726209414,494455.09392067103,497876.282772362,498040.661784138,498481.5277736883,498823.2108772985,499087.8484262623,499292.70665224944,499451.3336577022,499573.4850021596,499666.59790049616,499739.24114419194,499795.94135080604,499840.21938940167,499874.8145813571,499901.85885486513,499923.01200665627,499939.5667547992,499995.03811054735
Females,20-24,444387.41757894173,480692.15126338915,488375.3455108295,493360.57904598315,497338.89715267334,497522.1016676996,498049.4113078888,498463.47751749924,498788.49734661134,499043.59385901433,499244.0147934526,499400.9406517358,499523.008819189,499619.7483544689,499696.5002785876,499757.4638685044,499805.9433624384,499844.5409720739,499875.3079177289,499899.8626566254,499989.24691443477
Females,25-29,437010.2069939935,478292.7411783415,487001.2159215688,492263.7307111146,496650.5072259847,496967.84079689975,497568.24218464433,498050.03898674366,498434.9368705328,498741.3486066969,498985.7204073848,499181.06899384677,499337.8941425071,499463.90297499916,499565.3003757368,499647.01441484137,499712.9638540061,499766.26886596263,499809.4171052339,499844.3946783416,499980.14766457415
Females,30-34,428363.7568375819,475571.2953616696,485374.3724259927,491042.14900184877,495685.6694269754,496289.3601350486,496983.0889253855,497548.8145170896,498006.9634084686,498376.0008989896,498673.8914475392,498915.2988009776,499112.265158191,499272.36357243167,499402.70738679846,499508.99804815697,499595.81227047945,499666.82969386934,499725.0135041358,499772.75386633526,499967.3370007301
Females,35-39,418228.57367749274,471722.4647614842,483132.8845502767,489441.2908045008,494394.21336132113,495240.9762410357,496099.05023189576,496796.63469936594,497364.5478061824,497827.44105880836,498205.55021011306,498515.354694381,498770.39865826943,498980.1637368946,499152.9741424195,499295.57014782855,499413.4189718888,499510.96312214516,499591.81897192635,499658.93573214946,499945.50250657904
Females,40-44,407026.90958600893,465596.750993915,479364.9852190225,487149.3071948914,492594.55476840393,493553.296030467,494619.1128764429,495517.5011337924,496266.2402536492,496884.6184565729,497396.3544896569,497820.7908355037,498173.8842912916,498467.910883721,498713.1178128891,498917.9049296988,499089.17024059244,499232.58877860813,499352.8379494943,499453.77987486334,499904.2215971886
Females,45-49,394568.9661038383,456636.0901942173,472927.60511819005,483484.1510098652,489650.3834050102,490963.1864081464,492279.2680292942,493471.2569425783,494502.3375640372,495364.5694553265,496086.7801956979,496692.83485106775,497202.65690132394,497631.7537888784,497993.33168354083,498298.354999625,498555.94155651296,498773.68574642634,498957.9231049269,499113.947189284,499834.14111882576
Females,50-54,378961.4521620596,443918.01298449474,462470.9752951557,477411.1538137273,485470.98023608845,487092.97096822306,488785.20729468344,490425.1634354184,491887.8413677369,493121.5135505808,494163.1142326234,495041.3348320698,495779.31043763587,496405.2843404843,496936.6828035018,497388.13997422176,497771.95931021794,498098.4966946905,498376.47869389685,498613.26714471483,499730.2458346283
Females,55-59,358364.73745579127,425819.06464591983,447416.7648694778,468004.06777894753,479235.0363384878,481271.7437316061,483569.43186567526,485880.6990959076,487978.1567261182,489759.93002746266,491274.23519005586,492557.10790712194,493636.9909530701,494558.332149746,495344.75173439964,496016.2925723032,496589.9699976543,497080.23673477024,497499.37571085733,497857.8318262165,499573.3091557493
Females,60-64,331126.53600474726,399725.83595775766,425197.6186433007,453287.3576283036,470308.66795909114,472966.49427742785,476405.779813519,479696.6611632611,482641.18471472466,485157.6952097956,487308.2820819961,489139.20531623566,490687.03831219533,492013.2700273446,493149.74691646197,494123.73931203986,494958.5914570513,495674.28297709755,496287.91237855726,496814.11244475347,499356.17351359443
Females,65-69,293284.336318933,361038.22705229296,392300.43975029595,429874.44230073044,457617.554142562,461362.45639754855,466574.06312124414,471234.19225536915,475311.90220818005,478816.885025167,481827.7877801419,484404.6072036371,486595.7239863074,488479.8212588292,490099.558154345,491491.7932498206,492688.33217274776,493716.5918761653,494600.1866291651,495359.44203838415,499052.86298844253
Females,70-74,239643.96761987312,305546.28523000353,345322.59814275324,393759.7977554016,436922.44519612787,442959.77674154297,450898.59487341135,457689.94559481565,463546.3828659948,468612.70457259344,472989.7113623564,476755.5460994805,479974.2672428923,482752.6011888266,485149.2720766127,487215.60787050263,488996.347591707,490530.3975213046,491851.5270090891,492989.0001301135,498557.4574116444
Females,75-79,172677.71863700027,228776.93092076946,275231.7884763345,338889.8404325324,402691.2967620547,412144.9366341756,424357.15292097226,434576.79208963324,443347.1373576894,451002.3472344135,457667.94084370305,463440.7705835127,468400.8920953694,472705.4589540155,476436.4543308227,479666.8683370666,482461.3308076828,484876.81062793237,486963.3350096793,488764.6971539829,497660.7244399225
Females,80-84,104251.03869644713,142719.18673930506,187000.21507056645,260590.93739528104,345188.7929186231,360744.82872462366,378673.98147298576,393872.18269483896,407107.7846897934,418859.36329413776,429250.1098444816,438378.10178324394,446328.5255534158,453305.4860959736,459414.663789805,464753.8436173905,469412.4686955024,473471.59374672006,477004.1147410341,480075.17959060124,495641.927193412
Females,85+,81112.05593960415,96933.18936751763,138959.78490318454,264546.2459121678,440979.5208717908,502197.4750686248,558595.9366536883,612664.2903519456,665001.8602302743,715870.6096884831,765022.3650248181,812194.4997286219,857158.7983928376,900152.4697011362,941158.2706170499,980190.8222318279,1017289.405428259,1052511.7676254706,1085928.913660563,1117620.8103910545,1367724.2183073189
Females,T(0),6316222.955626834,7173357.334893443,7534164.359505981,8004104.581573398,8477613.925103001,8584814.793994388,8698475.672175255,8802045.753380112,8897223.164147783,8985153.753140887,9066333.413760424,9141075.711225472,9209624.526814485,9272987.728404209,9331575.811826129,9385777.14400864,9435956.793096375,9482455.903540522,9525591.566273287,9565657.112271737,9856904.321142685
Males,0-4,458935.7049609945,484689.8216612456,490123.9506518352,495006.25926196674,498218.72706083953,498333.92466318945,498721.44796915504,499019.096566478,499247.6216999111,499423.0177673288,499557.5965106836,499660.15125106764,499737.3756896043,499797.05735300056,499843.17860386986,499878.8190592078,499906.35967085656,499927.64090551005,499944.0852506098,499956.79203404626,499997.11382274836
Males,5-9,447647.32488955813,481289.9576377663,488351.340066595,494072.11492158106,497901.0630011304,498093.0460901157,498539.46508239023,498881.55816033744,499143.64787133224,499344.40548431326,499498.1529225534,499615.2559715543,499703.5922153999,499771.63034553436,499824.03741779283,499864.40715367417,499895.5066647527,499919.4665686267,499937.92742820096,499952.1525181929,499996.8736233618
Males,10-14,443740.1185549828,479355.3700437386,487419.2706127983,493581.295751972,497674.35661357164,497917.6686223127,498403.5187048327,498776.7955401196,499063.1344995928,499282.5384473226,499450.6198238419,499578.8163753121,499675.8330342098,499750.48191111104,499807.9238311219,499852.12607933447,499886.0846230694,499912.2050991844,499932.3150858544,499947.8037419849,499996.54852602
Males,15-19,439515.68898865336,476922.1986685344,485294.264762908,492345.15051122033,497146.48280559346,497422.8488138128,498010.11093586765,498467.0520587809,498820.3596054922,499092.3116334445,499301.6071514345,499462.4640149461,499585.8033931643,499680.82329711673,499754.0288470301,499810.40700279316,499853.53439524275,499886.76941414154,499912.2897915503,499931.5742829987,499994.61677251215
Males,20-24,433674.9609211588,472691.7567395696,480792.74926057446,489264.0490400898,495886.1037242245,496206.7986115398,497069.2388661489,497738.5237624467,498256.13291442464,498655.42511024454,498963.3775898613,499200.26395158924,499381.66402087326,499521.89353040094,499630.2987713222,499714.0812665604,499778.5431726044,499828.0737064786,499864.4735937972,499891.87081956933,499988.82558127976
Males,25-29,426142.7789614185,468262.23799093993,477147.62056090723,486054.4175757947,494361.3123603598,494780.5895304547,495955.1977720595,496860.39648013894,497561.25932070304,498105.6622289909,498528.47374855645,498855.68247275474,499107.302820108,499303.43493086786,499456.34226566175,499575.5510413311,499668.21507546713,499740.08274545555,499793.4305104583,499833.85713655123,499979.7263390868
Males,30-34,417615.02618370915,464278.3551443684,473792.0503046396,482726.61833069276,492551.03417719714,493134.92617114313,494639.5286620726,495794.8020355067,496693.5105730903,497399.2150895422,497953.454248494,498386.9818790121,498723.5224030259,498989.19152411656,499199.0317951307,499364.85038053046,499495.67163213686,499598.77670251013,499677.69805756805,499739.06180555705,499966.3680796529
Males,35-39,407142.3422402602,459342.9357563955,469646.9822532132,479263.441495641,490129.27488099993,490886.9772507015,492698.537758959,494155.50561257976,495323.00512580643,496253.8611395024,496996.5369481835,497586.5253377042,498051.15344314405,498424.45681451494,498724.7212076237,498966.49181637063,499161.1013683183,499317.77464634663,499441.68047374673,499540.8186454006,499934.45275690564
Males,40-44,394108.7318927357,452000.4826209911,463580.58171475946,475051.94125014544,486866.18480575795,487691.56137515686,489816.18381799146,491653.5537032366,493188.1256883788,494433.1530025184,495444.41107251967,496262.035533441,496916.66118738434,497452.87327233795,497892.7615105327,498254.16024462663,498551.2401085885,498795.6694967418,498994.7207337733,499158.19653174654,499859.5739936908
Males,45-49,377452.9160154832,440552.78640164033,453247.3675294695,469073.5804084791,482406.7074600638,483164.03473530937,485704.0868841938,488047.3838358587,490075.10085508216,491747.68383645767,493129.07408714044,494264.27680596244,495187.15904781333,495956.01540276426,496597.5422025813,497133.6209692884,497581.96716943145,497957.34518440615,498269.72962945455,498531.2686028739,499723.5792665543
Males,50-54,356867.5733199137,422235.0545997314,435784.56860831124,459542.54177113384,475875.1383311373,476765.70064072555,479852.0505624297,482890.0780467955,485605.86720662046,487878.0760214592,489781.03588413546,491365.9608564003,492670.83924105874,493772.15334841516,494702.7959322835,495490.1358193649,496156.72855393874,496721.5922378849,497198.43560656096,497602.6637679718,499517.37619059614
Males,55-59,329638.1811934129,393576.87158764363,408837.607393935,443310.1414262128,466089.9811541101,467357.8032682073,471282.0955151969,475333.7804272479,479042.8874110122,482184.1913177664,484845.745422949,487087.15551183326,488952.13445739873,490541.85595471814,491897.94443237665,493055.562598952,494044.1863379371,494888.94974510034,495608.9561403729,496224.33461211435,499210.61505816295
Males,60-64,292859.3586763338,352412.4442435745,368705.4840016554,416717.3664155606,451542.2963762758,453492.89852285024,459001.702697441,464573.0439550276,469668.1391977572,474028.9700078543,477760.2065166962,480931.80767287954,483594.73490600986,485882.20631549193,487847.5585831902,489536.5390117791,490988.11844824173,492235.8941314113,493306.4882969343,494226.65349140484,498764.7720363406
Males,65-69,246537.99303164688,296365.1284337974,313387.3682478242,375472.0496468064,430433.72792292526,434021.1343839633,442227.6214306947,449953.55260127527,456878.54249309865,462862.457327922,468027.1938986581,472453.5592011195,476200.32207543997,479439.3286689389,482238.4129080215,484656.6862991488,486745.30240431987,488548.8610644593,490103.8676185999,491445.85897177504,498141.73481170996
Males,70-74,190456.9199086863,227621.39905476198,244862.83615182387,317987.88758037845,398942.6919103783,406543.3800812763,418990.01518067106,429730.3967150977,439084.583806138,447248.4587071151,454357.7863900249,460501.9383586692,465746.09592098964,470307.365323732,474270.7958563547,477711.92877712764,480697.3053560008,483285.7244599374,485526.6716071747,487467.3838087562,497245.84152338014
Males,75-79,127372.47217929646,150794.75287033487,164297.3546984366,243072.29470769322,350343.22201981704,364626.4582485177,383118.45209882886,398186.714530298,411066.72226187546,422458.3602855577,432496.0465429299,441266.3103019761,448832.36618007685,455464.81362315995,461268.06500842184,466337.7293510919,470760.2909632857,474613.78889993974,477965.92273341084,480880.7970802678,495741.35582560656
Males,80-84,69705.78362370605,81588.46327612149,89250.14962662723,158155.28492864175,277533.5813984035,299596.2238026773,324960.1410728016,345518.3859823145,363220.63396318315,379238.30370161467,393644.4267191045,406472.7151798209,417742.3094529002,427766.90488782374,436655.7345376395,444515.8749433814,451449.69937576953,457553.8033195741,462915.8811896774,467620.2961288558,492378.01582291303
Males,85+,43452.29538553518,47112.767516696644,46903.915052611716,115273.47048707001,284240.2507507829,344095.4000689072,403866.64660591714,458383.46129588876,510590.022540614,562639.9687907813,614111.4440259996,664419.6281610215,712839.9163184119,759887.9984029704,805411.9195905046,849305.9665675613,891503.44570072,931971.0268596633,970698.1498327821,1007703.9844739193,1305591.3429427086
Males,T(0),5902866.170927485,6651092.784247853,6841425.461498924,7385969.90551108,8068142.136753568,8184131.374880861,8332856.041617652,8463964.08130943,8582529.297034115,8692276.059899734,8793847.189503767,8887371.528837064,8972648.785807014,9051710.484907014,9125023.09330146,9193024.938382125,9256123.30102068,9314703.445187371,9369092.723580526,9419655.368453987,9786028.732973233
