"Info","2001-06","2006-11"
"1 Goulburn - Yass",NA,NA
"Start-of-period population",63370,64583.5511055045
"Births",3887.33434009997,3600.36874427269
"Deaths",2606.91919014467,2892.57494117029
"Net migration",-66.8640444508434,207.359069137688
"End-of-period population",64583.5511055045,65498.7039777445
"2 Queanbeyan",NA,NA
"Start-of-period population",45224,49232.6522682217
"Births",3086.24892807377,2934.53828704837
"Deaths",1256.6236785774,1449.91412829122
"Net migration",2179.02701872535,2254.89436284655
"End-of-period population",49232.6522682217,52972.1707898254
"3 Snowy Mountains",NA,NA
"Start-of-period population",18810,19243.521052066
"Births",1049.74363918849,932.614454485973
"Deaths",771.963000984654,926.002844358087
"Net migration",155.740413862147,335.481696182539
"End-of-period population",19243.521052066,19585.6143583764
"4 South Coast",NA,NA
"Start-of-period population",64093,68491.6607622826
"Births",3276.12559856691,3321.20868383027
"Deaths",3201.73188913671,3253.6519736241
"Net migration",4324.26705285239,3950.60037706185
"End-of-period population",68491.6607622826,72509.8178495506
"5 Gosford",NA,NA
"Start-of-period population",160596,170956.477551878
"Births",9761.92358954896,9613.11843492932
"Deaths",8069.5108534485,8729.25580229865
"Net migration",8668.06481577761,8529.61382207341
"End-of-period population",170956.477551878,180369.954006582
"6 Wyong",NA,NA
"Start-of-period population",134000,146035.740108903
"Births",9142.28424722102,9164.05503477519
"Deaths",6431.27376214027,6970.6480711488
"Net migration",9324.72962382209,9046.06297952676
"End-of-period population",146035.740108903,157275.210052056
"7 Bathurst",NA,NA
"Start-of-period population",40816,42639.7756429631
"Births",2551.7540649178,2462.00582325541
"Deaths",1435.39753155219,1626.63141866806
"Net migration",707.419109597473,762.308495846162
"End-of-period population",42639.7756429631,44237.4585433966
"8 Lachlan Valley",NA,NA
"Start-of-period population",58987,59208.1829409331
"Births",3855.75692474641,3552.46459960429
"Deaths",2701.18697685746,2966.14325268854
"Net migration",-933.38700695585,-623.110247878217
"End-of-period population",59208.1829409331,59171.3940399706
"9 Lithgow - Mudgee",NA,NA
"Start-of-period population",43738,44347.6239962397
"Births",2771.94400482743,2655.93339019943
"Deaths",1702.76095560364,1765.6859541287
"Net migration",-459.559052984131,-477.118841992184
"End-of-period population",44347.6239962397,44760.7525903182
"10 Orange",NA,NA
"Start-of-period population",52288,54056.271107749
"Births",3607.58697291738,3437.13466496315
"Deaths",1969.36225350141,2168.40581280896
"Net migration",130.046388333016,225.860449512183
"End-of-period population",54056.271107749,55550.8604094154
"11 Clarence Valley",NA,NA
"Start-of-period population",47789,49914.1581753107
"Births",2704.5397266277,2584.46959095776
"Deaths",2296.10977420894,2506.46806259193
"Net migration",1716.72822289194,1782.69015427894
"End-of-period population",49914.1581753107,51774.8498579555
"12 Coffs Harbour",NA,NA
"Start-of-period population",75674,80469.3038992577
"Births",4267.36604750934,4142.75012951714
"Deaths",3353.53880359913,3821.01613310358
"Net migration",3881.47665534752,4028.34007524425
"End-of-period population",80469.3038992577,84819.3779709155
"13 Bourke - Cobar - Coonamble",NA,NA
"Start-of-period population",30532,30341.8783131117
"Births",2457.29207752698,2290.87733516291
"Deaths",899.884778205119,948.229282844675
"Net migration",-1747.52898621013,-1662.00617218444
"End-of-period population",30341.8783131117,30022.5201932455
"14 Broken Hill and Far West",NA,NA
"Start-of-period population",24208,23154.5146002205
"Births",1395.13694307233,1221.84155454851
"Deaths",1051.9289113358,1022.81036693642
"Net migration",-1396.69343151605,-1281.19246390987
"End-of-period population",23154.5146002205,22072.3533239227
"15 Dubbo",NA,NA
"Start-of-period population",68842,70714.6765669631
"Births",4926.93653717329,4630.78714706333
"Deaths",2606.16906831384,2970.88474059287
"Net migration",-448.090901896371,-132.317391185868
"End-of-period population",70714.6765669631,72242.2615822477
"16 Lower Hunter",NA,NA
"Start-of-period population",76441,78672.0348347446
"Births",5181.81265972462,5122.51922546944
"Deaths",2679.48766429782,2779.69411048175
"Net migration",-271.290160682185,-500.257009999137
"End-of-period population",78672.0348347446,80514.6029397332
"17 Maitland",NA,NA
"Start-of-period population",52324,55444.5272457171
"Births",3772.26822556073,3806.34026628041
"Deaths",1770.30412452885,1879.51174416066
"Net migration",1118.56314468524,888.446455620577
"End-of-period population",55444.5272457171,58259.8022234575
"18 Port Stephens",NA,NA
"Start-of-period population",61044,66973.3038224499
"Births",3990.9833476552,4061.28510548087
"Deaths",2456.90582284821,2795.30949022356
"Net migration",4395.22629764297,4305.44702837278
"End-of-period population",66973.3038224499,72544.72646608
"19 Upper Hunter",NA,NA
"Start-of-period population",28529,28640.8767647775
"Births",1927.48108849387,1769.52115944229
"Deaths",1015.6588368,1131.53372524356
"Net migration",-799.945486916384,-650.876309492168
"End-of-period population",28640.8767647775,28627.987889484
"20 Dapto - Port Kembla",NA,NA
"Start-of-period population",72302,73979.4873660881
"Births",4439.63606653654,3981.17282790332
"Deaths",2564.25003480642,2965.46461836646
"Net migration",-197.898665642033,309.928513255284
"End-of-period population",73979.4873660881,75305.1240888802
"21 Kiama - Shellharbour",NA,NA
"Start-of-period population",79109,84983.5562043639
"Births",5368.43896361628,5227.96033683311
"Deaths",2813.07038409536,3355.17707960041
"Net migration",3319.18762484298,3529.38242848731
"End-of-period population",84983.5562043639,90385.7218900839
"22 Wollongong",NA,NA
"Start-of-period population",115960,118953.865533394
"Births",6881.79194440599,6761.26564752185
"Deaths",4806.42411414877,4979.2068374116
"Net migration",918.497703136957,636.273465686244
"End-of-period population",118953.865533394,121372.197809191
"23 Great Lakes",NA,NA
"Start-of-period population",28094,30284.9115867279
"Births",1296.4553844457,1303.73432270873
"Deaths",1817.09955770287,2024.48880306875
"Net migration",2711.55575998511,2743.6259830455
"End-of-period population",30284.9115867279,32307.7830894134
"24 Kempsey - Nambucca",NA,NA
"Start-of-period population",45235,46743.9062000809
"Births",2494.45743699121,2330.10569225289
"Deaths",2211.91921104669,2499.55888722194
"Net migration",1226.36797413639,1442.25272136598
"End-of-period population",46743.9062000809,48016.7057264779
"25 Port Macquarie",NA,NA
"Start-of-period population",64874,71059.3478181392
"Births",3287.19189244178,3223.57368442318
"Deaths",3903.55075275047,4469.36713146262
"Net migration",6801.70667844788,7049.2829351972
"End-of-period population",71059.3478181392,76862.8373062969
"26 Taree - Gloucester",NA,NA
"Start-of-period population",49425,50970.8243530004
"Births",2703.51060513841,2540.34840608171
"Deaths",2429.82909825722,2595.89114887176
"Net migration",1272.14284611926,1346.72012018842
"End-of-period population",50970.8243530004,52262.0017303988
"27 Albury",NA,NA
"Start-of-period population",55583,57298.7684063873
"Births",3499.7596606159,3346.81314502944
"Deaths",2200.76729769912,2435.11824107592
"Net migration",416.776043470497,518.449755432271
"End-of-period population",57298.7684063873,58728.9130657731
"28 Lower Murray",NA,NA
"Start-of-period population",14120,14027.6897648571
"Births",938.114416876075,853.403763217413
"Deaths",511.924565649165,544.222661178037
"Net migration",-518.500086369779,-461.132373172621
"End-of-period population",14027.6897648571,13875.7384937239
"29 Upper Murray exc. Albury",NA,NA
"Start-of-period population",42032,42771.3978030862
"Births",2527.86612092928,2340.71942212865
"Deaths",1961.42565577005,2183.66211090236
"Net migration",172.957337926978,387.07171486195
"End-of-period population",42771.3978030862,43315.5268291744
"30 Armidale",NA,NA
"Start-of-period population",36743,36288.5998192083
"Births",2069.31127323577,1867.00206685506
"Deaths",1324.048286454,1420.42700497086
"Net migration",-1199.66316757344,-1048.11826428671
"End-of-period population",36288.5998192083,35687.0566168058
"31 Inverell - Tenterfield",NA,NA
"Start-of-period population",38138,37880.8237515526
"Births",2222.08887535112,2036.22455230651
"Deaths",1799.46314894704,1936.62593030546
"Net migration",-679.801974851459,-517.632884392777
"End-of-period population",37880.8237515526,37462.7894891609
"32 Moree - Narrabri",NA,NA
"Start-of-period population",30007,29908.7032104984
"Births",2325.9403807512,2153.84564092168
"Deaths",840.806928847518,879.7565411785
"Net migration",-1583.4302414053,-1501.53835474236
"End-of-period population",29908.7032104984,29681.2539554992
"33 Tamworth - Gunnedah",NA,NA
"Start-of-period population",74837,75234.5314386776
"Births",4559.63154936433,4169.54454959321
"Deaths",3127.22835976848,3439.88321939178
"Net migration",-1034.87175091831,-659.13513968382
"End-of-period population",75234.5314386776,75305.0576291952
"34 Lake Macquarie - East",NA,NA
"Start-of-period population",116872,120652.887866992
"Births",6727.40831425765,6594.55904428235
"Deaths",4848.83983768552,5195.57609586596
"Net migration",1902.3193904195,1775.65443947193
"End-of-period population",120652.887866992,123827.52525488
"35 Lake Macquarie - West",NA,NA
"Start-of-period population",67249,70908.3868124918
"Births",4309.47895422222,4317.02351977736
"Deaths",3019.5509222668,3354.62061790904
"Net migration",2369.45878053635,2310.42807563121
"End-of-period population",70908.3868124918,74181.2177899913
"36 Newcastle",NA,NA
"Start-of-period population",148073,151255.240591948
"Births",7747.55280650128,6754.39149738152
"Deaths",6921.86889630687,7445.71477211455
"Net migration",2356.55668175332,3162.66281328406
"End-of-period population",151255.240591948,153726.580130499
"37 Richmond Valley - Coastal",NA,NA
"Start-of-period population",71896,78009.2724139437
"Births",3792.78923736069,3745.95664615057
"Deaths",3400.14727983366,3842.41404770486
"Net migration",5720.63045641669,5780.41955843171
"End-of-period population",78009.2724139437,83693.2345708211
"38 Richmond Valley - Hinterland",NA,NA
"Start-of-period population",68887,69662.4351563442
"Births",4140.51068960776,3826.31939098634
"Deaths",2689.02339520424,2673.36205882758
"Net migration",-676.052138059293,-678.937350979497
"End-of-period population",69662.4351563442,70136.4551375235
"39 Tweed Valley",NA,NA
"Start-of-period population",73980,81895.2120451357
"Births",3899.98325832592,3871.29897481402
"Deaths",4275.65001222306,5026.64703645432
"Net migration",8290.87879903291,8649.94571141122
"End-of-period population",81895.2120451357,89389.8096949067
"40 Griffith - Murrumbidgee (West)",NA,NA
"Start-of-period population",49373,50891.4363884906
"Births",3720.63946194265,3561.41042100588
"Deaths",1730.13233731582,1903.53598144743
"Net migration",-472.070736136167,-392.962899780078
"End-of-period population",50891.4363884906,52156.347928269
"41 Tumut - Tumbarumba",NA,NA
"Start-of-period population",15112,15150.7325644004
"Births",883.461581402675,813.97096439524
"Deaths",649.080806363843,701.564914754547
"Net migration",-195.648210638408,-139.736867636243
"End-of-period population",15150.7325644004,15123.4017464049
"42 Wagga Wagga",NA,NA
"Start-of-period population",87629,88976.0998469762
"Births",5844.05960598053,5496.32534780923
"Deaths",3342.98701854649,3694.20983979166
"Net migration",-1153.97274045784,-854.04130506194
"End-of-period population",88976.0998469762,89924.1740499318
"43 Shoalhaven",NA,NA
"Start-of-period population",86827,93535.8818466621
"Births",4769.05865279657,4450.98179002467
"Deaths",4499.86142764707,5536.97745860526
"Net migration",6439.68462151265,7275.63073178819
"End-of-period population",93535.8818466621,99725.5169098697
"44 Southern Highlands",NA,NA
"Start-of-period population",42327,45626.5242363102
"Births",2658.26040237319,2611.75857575042
"Deaths",1802.35195336762,1923.08158719452
"Net migration",2443.61578730465,2357.67631696059
"End-of-period population",45626.5242363102,48672.8775418267
"45 Baulkham Hills",NA,NA
"Start-of-period population",118274,128070.743155524
"Births",6585.4744626251,6467.12985675964
"Deaths",3677.37315554456,4208.1479088607
"Net migration",6888.6418484435,6830.65694308007
"End-of-period population",128070.743155524,137160.382046503
"46 Dural - Wisemans Ferry",NA,NA
"Start-of-period population",25175,26707.521896021
"Births",1245.01209154327,1170.97770484223
"Deaths",852.853063607026,1032.13489718507
"Net migration",1140.36286808472,1246.36953915026
"End-of-period population",26707.521896021,28092.7342428284
"47 Hawkesbury",NA,NA
"Start-of-period population",23519,25280.6876928637
"Births",1635.79938346308,1628.15562059758
"Deaths",508.245788033307,463.550768586596
"Net migration",634.134097433956,456.583583524887
"End-of-period population",25280.6876928637,26901.8761283996
"48 Rouse Hill - McGraths Hill",NA,NA
"Start-of-period population",18531,21335.1915234104
"Births",1589.16971756147,1615.8600395534
"Deaths",406.391313756269,471.557123821367
"Net migration",1621.41311960521,1588.97411156328
"End-of-period population",21335.1915234104,24068.4685507057
"49 Blacktown",NA,NA
"Start-of-period population",120913,124760.160039411
"Births",8310.69003733367,8004.9968671959
"Deaths",3305.67973925671,3749.70391654109
"Net migration",-1157.85025866608,-1033.24944283181
"End-of-period population",124760.160039411,127982.203547234
"50 Blacktown - North",NA,NA
"Start-of-period population",47036,56664.6541539005
"Births",4643.44169236832,5019.66512286099
"Deaths",892.563448326919,1124.83923442187
"Net migration",5877.77590985908,5776.23753866004
"End-of-period population",56664.6541539005,66335.7175809996
"51 Mount Druitt",NA,NA
"Start-of-period population",97202,103199.541311562
"Births",8753.03957620181,8579.53406717583
"Deaths",1939.14872987835,2336.88546863903
"Net migration",-816.349534761284,-814.959538349532
"End-of-period population",103199.541311562,108627.230371749
"52 Botany",NA,NA
"Start-of-period population",36966,37641.7722154041
"Births",2118.95524135881,1905.17085673581
"Deaths",1474.39543575043,1728.42777778124
"Net migration",31.2124097957162,326.257424242464
"End-of-period population",37641.7722154041,38144.7727186011
"53 Marrickville - Sydenham - Petersham",NA,NA
"Start-of-period population",50997,50011.7194188104
"Births",2550.58883241653,2383.97993335519
"Deaths",1660.51371625234,1755.23911864699
"Net migration",-1875.3556973538,-1798.42390037321
"End-of-period population",50011.7194188104,48842.0363331454
"54 Sydney Inner City",NA,NA
"Start-of-period population",133173,148380.488900182
"Births",4585.39457701106,4908.29579206653
"Deaths",3852.42003649567,4294.84218108444
"Net migration",14474.5143596662,13861.0646139463
"End-of-period population",148380.488900182,162855.00712511
"55 Eastern Suburbs - North",NA,NA
"Start-of-period population",120374,122477.050203625
"Births",5207.85003190345,5036.49219293878
"Deaths",5199.74493642572,5337.9097235513
"Net migration",2094.94510814708,1845.83738137215
"End-of-period population",122477.050203625,124021.470054384
"56 Eastern Suburbs - South",NA,NA
"Start-of-period population",124456,128050.411710244
"Births",6135.12805535509,6068.65329070397
"Deaths",4610.79064562201,4478.69338917764
"Net migration",2070.07430051077,1373.28204975783
"End-of-period population",128050.411710244,131013.653661528
"57 Bankstown",NA,NA
"Start-of-period population",148537,152816.778178789
"Births",9835.79959359864,9439.825507619
"Deaths",5779.48153863402,6345.87115595147
"Net migration",223.460123824302,432.877514810722
"End-of-period population",152816.778178789,156343.610045267
"58 Canterbury",NA,NA
"Start-of-period population",123606,125570.229135918
"Births",8790.91963853199,8442.99448147902
"Deaths",4382.60584126729,4613.57131096067
"Net migration",-2444.0846613465,-2430.73446795005
"End-of-period population",125570.229135918,126968.917838487
"59 Hurstville",NA,NA
"Start-of-period population",110098,114271.399666444
"Births",6167.98295373379,5792.74435391826
"Deaths",5082.30961259056,5476.60091673886
"Net migration",3087.72632530081,3267.39184228392
"End-of-period population",114271.399666444,117854.934945907
"60 Kogarah - Rockdale",NA,NA
"Start-of-period population",115196,118028.102771733
"Births",6932.57931701673,6634.20168276261
"Deaths",5385.74258714365,5566.96872802624
"Net migration",1285.26604186018,1198.32559608934
"End-of-period population",118028.102771733,120293.661322559
"61 Canada Bay",NA,NA
"Start-of-period population",61230,64052.1428971061
"Births",3322.43364644627,3159.26370934876
"Deaths",2595.04329507193,2768.36153437292
"Net migration",2094.75254573181,2089.98259287312
"End-of-period population",64052.1428971061,66533.0276649551
"62 Leichhardt",NA,NA
"Start-of-period population",50146,51907.4250102185
"Births",2437.52476159712,2324.89099832027
"Deaths",1511.72928612429,1563.22430793835
"Net migration",835.62953474565,735.250392175228
"End-of-period population",51907.4250102185,53404.3420927756
"63 Strathfield - Burwood - Ashfield",NA,NA
"Start-of-period population",128351,130229.781430172
"Births",6600.3513102957,6293.09770470372
"Deaths",5155.35086265513,5152.70740927415
"Net migration",433.780982531107,157.928816712123
"End-of-period population",130229.781430172,131528.100542313
"64 Chatswood - Lane Cove",NA,NA
"Start-of-period population",93463,97416.7344253031
"Births",5411.42747380409,5225.7483015055
"Deaths",3921.11393335954,4105.1865134255
"Net migration",2463.42088485853,2321.10516727404
"End-of-period population",97416.7344253031,100858.401380657
"65 Hornsby",NA,NA
"Start-of-period population",71762,74791.203793599
"Births",4658.35802853251,4616.15435939455
"Deaths",2458.57212928825,2485.2790208996
"Net migration",829.417894354791,505.32784559097
"End-of-period population",74791.203793599,77427.406977685
"66 Ku-ring-gai",NA,NA
"Start-of-period population",107270,108486.332046276
"Births",4698.54133449,4100.46222579597
"Deaths",5146.5311927412,5566.4947879347
"Net migration",1664.32190452689,2212.6127445539
"End-of-period population",108486.332046276,109232.912228691
"67 North Sydney - Mosman",NA,NA
"Start-of-period population",85804,89308.7623897742
"Births",3568.13778190952,3675.85625592447
"Deaths",3338.94659648352,3247.65751874831
"Net migration",3275.57120434826,2609.78776751752
"End-of-period population",89308.7623897742,92346.7488944679
"68 Manly",NA,NA
"Start-of-period population",38428,39498.8967356163
"Births",2245.68791378543,2168.08683908138
"Deaths",1679.78957530848,1644.11360081316
"Net migration",504.9983971393,353.391108131386
"End-of-period population",39498.8967356163,40376.2610820159
"69 Pittwater",NA,NA
"Start-of-period population",56045,57647.0835370241
"Births",3220.1095273727,3047.66503662801
"Deaths",2392.59828507244,2463.07388985713
"Net migration",774.572294723867,733.835480181369
"End-of-period population",57647.0835370241,58965.5101639764
"70 Warringah",NA,NA
"Start-of-period population",135343,138598.198175915
"Births",8040.07046022029,7597.7471466853
"Deaths",5919.81142553703,6132.17052672162
"Net migration",1134.93914123197,1126.67208787682
"End-of-period population",138598.198175915,141190.446883756
"71 Camden",NA,NA
"Start-of-period population",39523,48629.0101692617
"Births",3726.94790845816,4073.52572956255
"Deaths",1047.02664042805,1289.00290736655
"Net migration",6426.08890123159,6485.65434202061
"End-of-period population",48629.0101692617,57899.1873334783
"72 Campbelltown (NSW)",NA,NA
"Start-of-period population",150579,154415.88348745
"Births",10974.8354249237,10497.2069678675
"Deaths",3206.92665539103,3778.51987883701
"Net migration",-3931.02528208301,-3627.3132914604
"End-of-period population",154415.88348745,157507.25728502
"73 Wollondilly",NA,NA
"Start-of-period population",33097,35713.0947171585
"Births",2409.59046414624,2407.74842491231
"Deaths",880.213665659665,1023.10996497045
"Net migration",1086.71791867194,1033.46112762455
"End-of-period population",35713.0947171585,38131.1943047249
"74 Blue Mountains",NA,NA
"Start-of-period population",76385,78428.6988047002
"Births",4520.35657384254,4313.76070998777
"Deaths",2827.57807256114,2979.81210929711
"Net migration",350.920303418772,328.06177168972
"End-of-period population",78428.6988047002,80090.7091770806
"75 Penrith",NA,NA
"Start-of-period population",121946,130155.104198681
"Births",9414.68249534866,9501.21452365999
"Deaths",2839.85751790064,3124.91978770191
"Net migration",1634.27922123332,1110.23817252648
"End-of-period population",130155.104198681,137641.637107166
"76 Richmond - Windsor",NA,NA
"Start-of-period population",35728,37884.0386241846
"Births",2896.03388084955,3022.99389885247
"Deaths",808.277940743871,590.396917753633
"Net migration",68.2826840789234,-485.354610163674
"End-of-period population",37884.0386241846,39831.2809951198
"77 St Marys",NA,NA
"Start-of-period population",53077,53785.2939871579
"Births",3904.15825236638,3697.95984932182
"Deaths",868.277356649253,601.508961603392
"Net migration",-2327.58690855924,-2625.2510976496
"End-of-period population",53785.2939871579,54256.4937772267
"78 Auburn",NA,NA
"Start-of-period population",59010,62653.6319441496
"Births",4315.12287996057,4400.77192765264
"Deaths",1866.43398558853,2003.6256204325
"Net migration",1194.94304977756,900.501857836207
"End-of-period population",62653.6319441496,65951.2801092059
"79 Carlingford",NA,NA
"Start-of-period population",57222,58505.8271146728
"Births",3157.49695134043,2770.13437422327
"Deaths",2203.14191651536,2436.60925759115
"Net migration",329.472079847723,673.499085421721
"End-of-period population",58505.8271146728,59512.8513167266
"80 Merrylands - Guildford",NA,NA
"Start-of-period population",123819,126048.635485572
"Births",8362.74958384913,7865.90658040905
"Deaths",4494.97477663853,5400.36390327456
"Net migration",-1638.13932163838,-813.236341410398
"End-of-period population",126048.635485572,127700.941821296
"81 Parramatta",NA,NA
"Start-of-period population",107468,111698.014460114
"Births",6807.15786801119,6710.17982343552
"Deaths",3925.16331165324,4217.06179188694
"Net migration",1348.01990375632,1156.66903627201
"End-of-period population",111698.014460114,115347.801527935
"82 Pennant Hills - Epping",NA,NA
"Start-of-period population",42302,43392.7241443584
"Births",1960.149874728,1745.21191739833
